HTNO,182AB1,182AG1,182AM1,182AR1,182AB2,182AG2,182AM2,182AR2,182ABd,182AGd,182AMd,182ARd,182AB1_Label,182AG1_Label,182AM1_Label,182AR1_Label,182AB2_Label,182AG2_Label,182AM2_Label,182AR2_Label
22WH1A1254,26.0,22.0,30.0,35.0,29.0,23.0,32.0,33.0,3.0,1.0,2.0,-2.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1255,33.0,25.0,31.0,34.0,30.0,27.0,33.0,32.0,-3.0,2.0,2.0,-2.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1256,35.0,31.0,31.0,35.0,32.0,31.0,32.0,34.0,-3.0,0.0,1.0,-1.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1257,11.0,7.0,20.0,16.0,18.0,12.0,27.0,23.0,7.0,5.0,7.0,7.0,beginner,beginner,intermediate,intermediate,intermediate,beginner,advanced,advanced
22WH1A1258,25.0,21.0,29.0,35.0,28.0,23.0,30.0,33.0,3.0,2.0,1.0,-2.0,advanced,intermediate,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1259,34.0,28.0,31.0,35.0,33.0,30.0,30.0,34.0,-1.0,2.0,-1.0,-1.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1260,32.0,22.0,26.0,26.0,32.0,26.0,30.0,29.0,0.0,4.0,4.0,3.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1261,32.0,25.0,28.0,35.0,30.0,22.0,31.0,28.0,-2.0,-3.0,3.0,-7.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1262,25.0,20.0,29.0,30.0,30.0,27.0,31.0,32.0,5.0,7.0,2.0,2.0,advanced,intermediate,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1263,28.0,21.0,30.0,34.0,27.0,26.0,32.0,33.0,-1.0,5.0,2.0,-1.0,advanced,intermediate,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1264,27.0,22.0,28.0,35.0,28.0,25.0,32.0,35.0,1.0,3.0,4.0,0.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1265,30.0,25.0,30.0,33.0,25.0,29.0,32.0,31.0,-5.0,4.0,2.0,-2.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1266,24.0,16.0,26.0,29.0,26.0,20.0,28.0,25.0,2.0,4.0,2.0,-4.0,advanced,intermediate,advanced,advanced,advanced,intermediate,advanced,advanced
22WH1A1267,28.0,20.0,28.0,33.0,21.0,20.0,28.0,31.0,-7.0,0.0,0.0,-2.0,advanced,intermediate,advanced,advanced,intermediate,intermediate,advanced,advanced
22WH1A1268,12.0,9.0,23.0,21.0,16.0,12.0,24.0,14.0,4.0,3.0,1.0,-7.0,beginner,beginner,advanced,intermediate,intermediate,beginner,advanced,beginner
22WH1A1269,24.0,21.0,27.0,35.0,31.0,25.0,31.0,33.0,7.0,4.0,4.0,-2.0,advanced,intermediate,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1271,24.0,15.0,24.0,27.0,24.0,13.0,30.0,17.0,0.0,-2.0,6.0,-10.0,advanced,intermediate,advanced,advanced,advanced,beginner,advanced,intermediate
22WH1A1272,27.0,30.0,29.0,35.0,28.0,24.0,32.0,32.0,1.0,-6.0,3.0,-3.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1273,24.0,15.0,19.0,30.0,25.0,21.0,29.0,33.0,1.0,6.0,10.0,3.0,advanced,intermediate,intermediate,advanced,advanced,intermediate,advanced,advanced
22WH1A1274,16.0,11.0,24.0,14.0,21.0,13.0,24.0,18.0,5.0,2.0,0.0,4.0,intermediate,beginner,advanced,beginner,intermediate,beginner,advanced,intermediate
22WH1A1275,30.0,28.0,33.0,35.0,32.0,31.0,34.0,34.0,2.0,3.0,1.0,-1.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1276,21.0,20.0,26.0,28.0,27.0,19.0,28.0,23.0,6.0,-1.0,2.0,-5.0,intermediate,intermediate,advanced,advanced,advanced,intermediate,advanced,advanced
22WH1A1277,18.0,7.0,24.0,22.0,15.0,16.0,29.0,9.0,-3.0,9.0,5.0,-13.0,intermediate,beginner,advanced,advanced,intermediate,intermediate,advanced,beginner
22WH1A1278,33.0,31.0,29.0,35.0,32.0,26.0,31.0,35.0,-1.0,-5.0,2.0,0.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1279,24.0,16.0,23.0,33.0,26.0,19.0,32.0,33.0,2.0,3.0,9.0,0.0,advanced,intermediate,advanced,advanced,advanced,intermediate,advanced,advanced
22WH1A1280,16.0,5.0,25.0,11.0,21.0,14.0,26.0,9.0,5.0,9.0,1.0,-2.0,intermediate,beginner,advanced,beginner,intermediate,beginner,advanced,beginner
22WH1A1281,27.0,29.0,31.0,35.0,25.0,22.0,31.0,33.0,-2.0,-7.0,0.0,-2.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1282,14.0,14.0,23.0,11.0,21.0,24.0,27.0,17.0,7.0,10.0,4.0,6.0,beginner,beginner,advanced,beginner,intermediate,advanced,advanced,intermediate
22WH1A1283,14.0,8.0,17.0,24.0,19.0,12.0,23.0,11.0,5.0,4.0,6.0,-13.0,beginner,beginner,intermediate,advanced,intermediate,beginner,advanced,beginner
22WH1A1284,32.0,30.0,26.0,30.0,29.0,31.0,31.0,32.0,-3.0,1.0,5.0,2.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1285,9.0,9.0,15.0,9.0,19.0,19.0,18.0,15.0,10.0,10.0,3.0,6.0,beginner,beginner,intermediate,beginner,intermediate,intermediate,intermediate,intermediate
22WH1A1286,16.0,14.0,17.0,19.0,20.0,11.0,24.0,15.0,4.0,-3.0,7.0,-4.0,intermediate,beginner,intermediate,intermediate,intermediate,beginner,advanced,intermediate
22WH1A1287,17.0,11.0,20.0,25.0,23.0,14.0,23.0,28.0,6.0,3.0,3.0,3.0,intermediate,beginner,intermediate,advanced,advanced,beginner,advanced,advanced
22WH1A1288,28.0,30.0,27.0,35.0,33.0,22.0,29.0,35.0,5.0,-8.0,2.0,0.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1289,14.0,11.0,26.0,22.0,23.0,19.0,28.0,19.0,9.0,8.0,2.0,-3.0,beginner,beginner,advanced,advanced,advanced,intermediate,advanced,intermediate
22WH1A1290,29.0,21.0,29.0,34.0,33.0,23.0,31.0,32.0,4.0,2.0,2.0,-2.0,advanced,intermediate,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1291,20.0,14.0,24.0,24.0,29.0,26.0,25.0,24.0,9.0,12.0,1.0,0.0,intermediate,beginner,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1292,22.0,15.0,21.0,31.0,26.0,20.0,28.0,25.0,4.0,5.0,7.0,-6.0,advanced,intermediate,intermediate,advanced,advanced,intermediate,advanced,advanced
22WH1A1293,28.0,19.0,31.0,24.0,28.0,28.0,32.0,32.0,0.0,9.0,1.0,8.0,advanced,intermediate,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1294,17.0,12.0,25.0,33.0,24.0,17.0,22.0,28.0,7.0,5.0,-3.0,-5.0,intermediate,beginner,advanced,advanced,advanced,intermediate,advanced,advanced
22WH1A1295,24.0,14.0,22.0,24.0,27.0,17.0,26.0,24.0,3.0,3.0,4.0,0.0,advanced,beginner,advanced,advanced,advanced,intermediate,advanced,advanced
22WH1A1296,31.0,26.0,32.0,35.0,30.0,29.0,30.0,34.0,-1.0,3.0,-2.0,-1.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A1297,22.0,13.0,23.0,17.0,16.0,15.0,21.0,22.0,-6.0,2.0,-2.0,5.0,advanced,beginner,advanced,intermediate,intermediate,intermediate,intermediate,advanced
22WH1A1298,22.0,21.0,20.0,24.0,30.0,26.0,28.0,25.0,8.0,5.0,8.0,1.0,advanced,intermediate,intermediate,advanced,advanced,advanced,advanced,advanced
22WH1A1299,32.0,33.0,32.0,35.0,34.0,29.0,30.0,35.0,2.0,-4.0,-2.0,0.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
